stem,n_coco,n_yolo,max_coord_diff,status
0019_1585_5,17,17,9.62963e-07,OK
0019_1586_5,18,18,1e-06,OK
0019_1587_5,16,16,9.16667e-07,OK
0019_1588_5,16,16,9.58333e-07,OK
0019_1589_5,17,17,9.79167e-07,OK
0019_1590_5,15,15,1e-06,OK
0019_1591_5,15,15,9.62963e-07,OK
0019_1592_5,17,17,9.62963e-07,OK
0019_1593_5,19,19,1e-06,OK
0019_1594_5,24,24,1e-06,OK
0019_1595_5,22,22,9.62963e-07,OK
0019_1596_5,21,21,9.62963e-07,OK
0019_1597_5,23,23,9.79167e-07,OK
0019_1598_5,25,25,9.62963e-07,OK
0019_1599_5,25,25,1e-06,OK
0019_1600_5,26,26,1e-06,OK
0019_1601_5,25,25,9.79167e-07,OK
0019_1602_5,25,25,1e-06,OK
0019_1603_5,25,25,9.62963e-07,OK
0019_1604_5,24,24,9.62963e-07,OK
0019_1605_5,25,25,9.79167e-07,OK
0019_1606_5,26,26,9.62963e-07,OK
0019_1607_5,25,25,9.62963e-07,OK
0019_1608_5,25,25,1e-06,OK
0019_1609_5,25,25,9.62963e-07,OK
0019_1610_5,22,22,9.79167e-07,OK
0019_1611_5,21,21,9.79167e-07,OK
0019_1612_5,17,17,9.62963e-07,OK
0019_1613_5,16,16,9.62963e-07,OK
0019_1614_5,14,14,1e-06,OK
0019_1615_5,13,13,9.79167e-07,OK
0019_1616_5,14,14,1e-06,OK
0019_1617_5,15,15,1e-06,OK
0019_1618_5,14,14,9.79167e-07,OK
0019_1619_5,15,15,1e-06,OK
0019_1620_5,15,15,1e-06,OK
0008_2205_5,17,17,9.79167e-07,OK
0008_2206_5,17,17,9.25926e-07,OK
0008_2207_5,16,16,9.62963e-07,OK
0008_2208_5,16,16,9.62963e-07,OK
0008_2209_5,17,17,1e-06,OK
0008_2210_5,16,16,9.58333e-07,OK
0008_2211_5,14,14,9.62963e-07,OK
0008_2212_5,12,12,9.375e-07,OK
0008_2213_5,11,11,9.79167e-07,OK
0008_2214_5,11,11,9.25926e-07,OK
0008_2215_5,11,11,9.62963e-07,OK
0008_2216_5,10,10,9.62963e-07,OK
0008_2217_5,11,11,1e-06,OK
0008_2218_5,12,12,1e-06,OK
0008_2219_5,13,13,1e-06,OK
0008_2220_5,13,13,1e-06,OK
0008_2221_5,16,16,1e-06,OK
0008_2222_5,16,16,1e-06,OK
0008_2223_5,17,17,9.62963e-07,OK
0008_2224_5,15,15,1e-06,OK
0008_2225_5,17,17,1e-06,OK
0008_2226_5,18,18,1e-06,OK
0008_2227_5,19,19,1e-06,OK
0008_2228_5,20,20,1e-06,OK
0008_2229_5,21,21,1e-06,OK
0008_2230_5,21,21,1e-06,OK
0008_2231_5,20,20,9.62963e-07,OK
0008_2232_5,22,22,9.62963e-07,OK
0008_2233_5,20,20,9.58333e-07,OK
0008_2234_5,18,18,9.79167e-07,OK
0008_2235_5,17,17,9.79167e-07,OK
0008_2236_5,16,16,1e-06,OK
0008_2237_5,14,14,1e-06,OK
0008_2238_5,14,14,9.62963e-07,OK
0008_2239_5,15,15,1e-06,OK
0008_2240_5,15,15,9.62963e-07,OK
0008_2241_5,14,14,9.79167e-07,OK
0008_2242_5,14,14,9.79167e-07,OK
0008_2243_5,12,12,9.62963e-07,OK
0008_2244_5,11,11,9.79167e-07,OK
0008_2245_5,12,12,9.79167e-07,OK
0008_2246_5,10,10,1e-06,OK
0008_2247_5,12,12,9.62963e-07,OK
